year,regime_mode,head_of_state,how_selected,elections_held,notes,source,vdem_regime,vdem_regime_source,reviewed_by
1911,restricted_democracy,Roque Sáenz Peña,election,True,República unificada con sufragio universal masculino no secreto; fraude y voto cantado ('régimen conservador').,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1912,transition,Roque Sáenz Peña,election,True,Sanción de la Ley Sáenz Peña (1912); primeras aplicaciones parciales antes de la elección presidencial de 1916.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1913,transition,Roque Sáenz Peña,election,True,Sanción de la Ley Sáenz Peña (1912); primeras aplicaciones parciales antes de la elección presidencial de 1916.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1914,transition,Victorino de la Plaza,succession,True,Sanción de la Ley Sáenz Peña (1912); primeras aplicaciones parciales antes de la elección presidencial de 1916.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1915,transition,Victorino de la Plaza,succession,True,Sanción de la Ley Sáenz Peña (1912); primeras aplicaciones parciales antes de la elección presidencial de 1916.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1916,democracy,Hipólito Yrigoyen (1er mandato),election,True,"Sufragio secreto, universal masculino y obligatorio (Ley Sáenz Peña); alternancia UCR.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1917,democracy,Hipólito Yrigoyen (1er mandato),election,True,"Sufragio secreto, universal masculino y obligatorio (Ley Sáenz Peña); alternancia UCR.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1918,democracy,Hipólito Yrigoyen (1er mandato),election,True,"Sufragio secreto, universal masculino y obligatorio (Ley Sáenz Peña); alternancia UCR.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1919,democracy,Hipólito Yrigoyen (1er mandato),election,True,"Sufragio secreto, universal masculino y obligatorio (Ley Sáenz Peña); alternancia UCR.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1920,democracy,Hipólito Yrigoyen (1er mandato),election,True,"Sufragio secreto, universal masculino y obligatorio (Ley Sáenz Peña); alternancia UCR.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1921,democracy,Hipólito Yrigoyen (1er mandato),election,True,"Sufragio secreto, universal masculino y obligatorio (Ley Sáenz Peña); alternancia UCR.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1922,democracy,Marcelo T. de Alvear,election,True,"Sufragio secreto, universal masculino y obligatorio (Ley Sáenz Peña); alternancia UCR.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1923,democracy,Marcelo T. de Alvear,election,True,"Sufragio secreto, universal masculino y obligatorio (Ley Sáenz Peña); alternancia UCR.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1924,democracy,Marcelo T. de Alvear,election,True,"Sufragio secreto, universal masculino y obligatorio (Ley Sáenz Peña); alternancia UCR.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1925,democracy,Marcelo T. de Alvear,election,True,"Sufragio secreto, universal masculino y obligatorio (Ley Sáenz Peña); alternancia UCR.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1926,democracy,Marcelo T. de Alvear,election,True,"Sufragio secreto, universal masculino y obligatorio (Ley Sáenz Peña); alternancia UCR.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1927,democracy,Marcelo T. de Alvear,election,True,"Sufragio secreto, universal masculino y obligatorio (Ley Sáenz Peña); alternancia UCR.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1928,democracy,Hipólito Yrigoyen (2do mandato),election,True,"Sufragio secreto, universal masculino y obligatorio (Ley Sáenz Peña); alternancia UCR.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1929,democracy,Hipólito Yrigoyen (2do mandato),election,True,"Sufragio secreto, universal masculino y obligatorio (Ley Sáenz Peña); alternancia UCR.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1930,coup,José Félix Uriburu,coup,False,Golpe de septiembre de 1930.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1931,dictatorship,José Félix Uriburu,coup,False,Gobierno de facto de Uriburu.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1932,restricted_democracy,Agustín Pedro Justo,election,True,'Década Infame': elecciones con fraude sistemático y proscripción del radicalismo yrigoyenista.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1933,restricted_democracy,Agustín Pedro Justo,election,True,'Década Infame': elecciones con fraude sistemático y proscripción del radicalismo yrigoyenista.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1934,restricted_democracy,Agustín Pedro Justo,election,True,'Década Infame': elecciones con fraude sistemático y proscripción del radicalismo yrigoyenista.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1935,restricted_democracy,Agustín Pedro Justo,election,True,'Década Infame': elecciones con fraude sistemático y proscripción del radicalismo yrigoyenista.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1936,restricted_democracy,Agustín Pedro Justo,election,True,'Década Infame': elecciones con fraude sistemático y proscripción del radicalismo yrigoyenista.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1937,restricted_democracy,Agustín Pedro Justo,election,True,'Década Infame': elecciones con fraude sistemático y proscripción del radicalismo yrigoyenista.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1938,restricted_democracy,Roberto Marcelino Ortiz,election,True,'Década Infame': elecciones con fraude sistemático y proscripción del radicalismo yrigoyenista.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1939,restricted_democracy,Roberto Marcelino Ortiz,election,True,'Década Infame': elecciones con fraude sistemático y proscripción del radicalismo yrigoyenista.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1940,restricted_democracy,Ramón S. Castillo (delegación/interino),succession,True,'Década Infame': elecciones con fraude sistemático y proscripción del radicalismo yrigoyenista.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1941,restricted_democracy,Ramón S. Castillo (delegación/interino),succession,True,'Década Infame': elecciones con fraude sistemático y proscripción del radicalismo yrigoyenista.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1942,restricted_democracy,Ramón S. Castillo,succession,True,'Década Infame': elecciones con fraude sistemático y proscripción del radicalismo yrigoyenista.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1943,coup,Pedro Pablo Ramírez,coup,False,Golpe de junio de 1943 (GOU).,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1944,dictatorship,Edelmiro Julián Farrell,succession,False,"Gobiernos de facto de Ramírez y Farrell, sin Congreso ni elecciones nacionales.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),0,v2x_regime,opus
1945,dictatorship,Edelmiro Julián Farrell,succession,False,"Gobiernos de facto de Ramírez y Farrell, sin Congreso ni elecciones nacionales.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),0,v2x_regime,opus
1946,democracy,Juan Domingo Perón (1er mandato),election,True,Gobiernos peronistas electos; oposición limitada en el acceso a medios pero elecciones competitivas.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1947,democracy,Juan Domingo Perón (1er mandato),election,True,Gobiernos peronistas electos; oposición limitada en el acceso a medios pero elecciones competitivas.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1948,democracy,Juan Domingo Perón (1er mandato),election,True,Gobiernos peronistas electos; oposición limitada en el acceso a medios pero elecciones competitivas.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1949,restricted_democracy,Juan Domingo Perón (1er mandato),election,True,"Peronismo en el gobierno con elecciones celebradas pero competencia restringida: reforma constitucional de 1949 sancionada con retiro del bloque opositor, desafuero (1949) y encarcelamiento (1950) de Ricardo Balbin, expropiacion de La Prensa (1951) y estado de guerra interno desde 1951. Reclasificado de 'democracy' a 'restricted_democracy' por el revisor: V-Dem v2x_regime=1 (autocracia electoral), e_boix_regime=0 y e_p_polity=-9 para todo 1946-1955, y el propio v2x_polyarchy de V-Dem hace pico en 1948 (0,385) y cae desde 1949.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1950,restricted_democracy,Juan Domingo Perón (1er mandato),election,True,"Peronismo en el gobierno con elecciones celebradas pero competencia restringida: reforma constitucional de 1949 sancionada con retiro del bloque opositor, desafuero (1949) y encarcelamiento (1950) de Ricardo Balbin, expropiacion de La Prensa (1951) y estado de guerra interno desde 1951. Reclasificado de 'democracy' a 'restricted_democracy' por el revisor: V-Dem v2x_regime=1 (autocracia electoral), e_boix_regime=0 y e_p_polity=-9 para todo 1946-1955, y el propio v2x_polyarchy de V-Dem hace pico en 1948 (0,385) y cae desde 1949.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1951,restricted_democracy,Juan Domingo Perón (1er mandato),election,True,"Peronismo en el gobierno con elecciones celebradas pero competencia restringida: reforma constitucional de 1949 sancionada con retiro del bloque opositor, desafuero (1949) y encarcelamiento (1950) de Ricardo Balbin, expropiacion de La Prensa (1951) y estado de guerra interno desde 1951. Reclasificado de 'democracy' a 'restricted_democracy' por el revisor: V-Dem v2x_regime=1 (autocracia electoral), e_boix_regime=0 y e_p_polity=-9 para todo 1946-1955, y el propio v2x_polyarchy de V-Dem hace pico en 1948 (0,385) y cae desde 1949.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1952,restricted_democracy,Juan Domingo Perón (2do mandato),election,True,"Peronismo en el gobierno con elecciones celebradas pero competencia restringida: reforma constitucional de 1949 sancionada con retiro del bloque opositor, desafuero (1949) y encarcelamiento (1950) de Ricardo Balbin, expropiacion de La Prensa (1951) y estado de guerra interno desde 1951. Reclasificado de 'democracy' a 'restricted_democracy' por el revisor: V-Dem v2x_regime=1 (autocracia electoral), e_boix_regime=0 y e_p_polity=-9 para todo 1946-1955, y el propio v2x_polyarchy de V-Dem hace pico en 1948 (0,385) y cae desde 1949.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1953,restricted_democracy,Juan Domingo Perón (2do mandato),election,True,"Peronismo en el gobierno con elecciones celebradas pero competencia restringida: reforma constitucional de 1949 sancionada con retiro del bloque opositor, desafuero (1949) y encarcelamiento (1950) de Ricardo Balbin, expropiacion de La Prensa (1951) y estado de guerra interno desde 1951. Reclasificado de 'democracy' a 'restricted_democracy' por el revisor: V-Dem v2x_regime=1 (autocracia electoral), e_boix_regime=0 y e_p_polity=-9 para todo 1946-1955, y el propio v2x_polyarchy de V-Dem hace pico en 1948 (0,385) y cae desde 1949.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1954,restricted_democracy,Juan Domingo Perón (2do mandato),election,True,"Peronismo en el gobierno con elecciones celebradas pero competencia restringida: reforma constitucional de 1949 sancionada con retiro del bloque opositor, desafuero (1949) y encarcelamiento (1950) de Ricardo Balbin, expropiacion de La Prensa (1951) y estado de guerra interno desde 1951. Reclasificado de 'democracy' a 'restricted_democracy' por el revisor: V-Dem v2x_regime=1 (autocracia electoral), e_boix_regime=0 y e_p_polity=-9 para todo 1946-1955, y el propio v2x_polyarchy de V-Dem hace pico en 1948 (0,385) y cae desde 1949.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1955,coup,Pedro Eugenio Aramburu,coup,False,Revolución Libertadora (septiembre de 1955).,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1956,dictatorship,Pedro Eugenio Aramburu,coup,False,"Gobierno de facto de Aramburu; proscripción del peronismo, sin Congreso.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),0,v2x_regime,opus
1957,dictatorship,Pedro Eugenio Aramburu,coup,False,"Gobierno de facto de Aramburu; proscripción del peronismo, sin Congreso.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),0,v2x_regime,opus
1958,restricted_democracy,Arturo Frondizi,election,True,"Frondizi electo, pero con el peronismo proscripto ('democracia proscriptiva').",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1959,restricted_democracy,Arturo Frondizi,election,True,"Frondizi electo, pero con el peronismo proscripto ('democracia proscriptiva').",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1960,restricted_democracy,Arturo Frondizi,election,True,"Frondizi electo, pero con el peronismo proscripto ('democracia proscriptiva').",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1961,restricted_democracy,Arturo Frondizi,election,True,"Frondizi electo, pero con el peronismo proscripto ('democracia proscriptiva').",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1962,coup,José María Guido,coup,False,Golpe de marzo de 1962 contra Frondizi.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1963,restricted_democracy,Arturo Illia,election,True,Illia electo con el peronismo aún proscripto.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1964,restricted_democracy,Arturo Illia,election,True,Illia electo con el peronismo aún proscripto.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
1965,restricted_democracy,Arturo Illia,election,True,Illia electo con el peronismo aún proscripto.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
1966,coup,Juan Carlos Onganía,coup,False,Revolución Argentina (junio de 1966).,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1967,dictatorship,Juan Carlos Onganía,coup,False,"Onganía / Levingston / Lanusse; Congreso disuelto, partidos prohibidos.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),0,v2x_regime,opus
1968,dictatorship,Juan Carlos Onganía,coup,False,"Onganía / Levingston / Lanusse; Congreso disuelto, partidos prohibidos.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),0,v2x_regime,opus
1969,dictatorship,Juan Carlos Onganía,coup,False,"Onganía / Levingston / Lanusse; Congreso disuelto, partidos prohibidos.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),0,v2x_regime,opus
1970,dictatorship,Roberto Marcelo Levingston,coup,False,"Onganía / Levingston / Lanusse; Congreso disuelto, partidos prohibidos.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),0,v2x_regime,opus
1971,dictatorship,Alejandro Agustín Lanusse,coup,False,"Onganía / Levingston / Lanusse; Congreso disuelto, partidos prohibidos.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),0,v2x_regime,opus
1972,dictatorship,Alejandro Agustín Lanusse,coup,False,"Onganía / Levingston / Lanusse; Congreso disuelto, partidos prohibidos.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),0,v2x_regime,opus
1973,democracy,Juan Domingo Perón (3er mandato),election,True,"Elecciones de 1973 sin proscripción del peronismo; gobiernos constitucionales de Cámpora, Perón e Isabel Perón.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1974,democracy,María Estela 'Isabel' Martínez de Perón,succession,True,"Elecciones de 1973 sin proscripción del peronismo; gobiernos constitucionales de Cámpora, Perón e Isabel Perón.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
1975,democracy,María Estela 'Isabel' Martínez de Perón,succession,True,"Elecciones de 1973 sin proscripción del peronismo; gobiernos constitucionales de Cámpora, Perón e Isabel Perón.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
1976,coup,Jorge Rafael Videla,coup,False,Golpe del 24 de marzo de 1976.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1977,dictatorship,Jorge Rafael Videla,coup,False,"Proceso de Reorganización Nacional; terrorismo de Estado, sin Congreso ni partidos.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),0,v2x_regime,opus
1978,dictatorship,Jorge Rafael Videla,coup,False,"Proceso de Reorganización Nacional; terrorismo de Estado, sin Congreso ni partidos.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),0,v2x_regime,opus
1979,dictatorship,Jorge Rafael Videla,coup,False,"Proceso de Reorganización Nacional; terrorismo de Estado, sin Congreso ni partidos.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),0,v2x_regime,opus
1980,dictatorship,Jorge Rafael Videla,coup,False,"Proceso de Reorganización Nacional; terrorismo de Estado, sin Congreso ni partidos.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),0,v2x_regime,opus
1981,dictatorship,Leopoldo Fortunato Galtieri,coup,False,"Proceso de Reorganización Nacional; terrorismo de Estado, sin Congreso ni partidos.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),0,v2x_regime,opus
1982,dictatorship,Reynaldo Bignone,succession,False,"Proceso de Reorganización Nacional; terrorismo de Estado, sin Congreso ni partidos.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),0,v2x_regime,opus
1983,democracy,Raúl Ricardo Alfonsín,election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),1,v2x_regime,opus
1984,democracy,Raúl Ricardo Alfonsín,election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
1985,democracy,Raúl Ricardo Alfonsín,election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
1986,democracy,Raúl Ricardo Alfonsín,election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
1987,democracy,Raúl Ricardo Alfonsín,election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
1988,democracy,Raúl Ricardo Alfonsín,election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
1989,democracy,Carlos Saúl Menem (1er mandato),election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
1990,democracy,Carlos Saúl Menem (1er mandato),election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
1991,democracy,Carlos Saúl Menem (1er mandato),election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
1992,democracy,Carlos Saúl Menem (1er mandato),election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
1993,democracy,Carlos Saúl Menem (1er mandato),election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
1994,democracy,Carlos Saúl Menem (1er mandato),election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
1995,democracy,Carlos Saúl Menem (2do mandato),election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
1996,democracy,Carlos Saúl Menem (2do mandato),election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
1997,democracy,Carlos Saúl Menem (2do mandato),election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
1998,democracy,Carlos Saúl Menem (2do mandato),election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
1999,democracy,Fernando de la Rúa,election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
2000,democracy,Fernando de la Rúa,election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
2001,democracy,Eduardo Camaño,succession,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
2002,democracy,Eduardo Alberto Duhalde,congress,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
2003,democracy,Néstor Carlos Kirchner,election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
2004,democracy,Néstor Carlos Kirchner,election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
2005,democracy,Néstor Carlos Kirchner,election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
2006,democracy,Néstor Carlos Kirchner,election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
2007,democracy,Cristina Fernández de Kirchner (1er mandato),election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
2008,democracy,Cristina Fernández de Kirchner (1er mandato),election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
2009,democracy,Cristina Fernández de Kirchner (1er mandato),election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
2010,democracy,Cristina Fernández de Kirchner (1er mandato),election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
2011,democracy,Cristina Fernández de Kirchner (2do mandato),election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
2012,democracy,Cristina Fernández de Kirchner (2do mandato),election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
2013,democracy,Cristina Fernández de Kirchner (2do mandato),election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
2014,democracy,Cristina Fernández de Kirchner (2do mandato),election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
2015,democracy,Mauricio Macri,election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
2016,democracy,Mauricio Macri,election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
2017,democracy,Mauricio Macri,election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
2018,democracy,Mauricio Macri,election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
2019,democracy,Alberto Ángel Fernández,election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
2020,democracy,Alberto Ángel Fernández,election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
2021,democracy,Alberto Ángel Fernández,election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
2022,democracy,Alberto Ángel Fernández,election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
2023,democracy,Javier Gerardo Milei,election,True,"Período democrático ininterrumpido más largo de la historia argentina, iniciado el 10-dic-1983.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),2,v2x_regime,opus
